Frequent Itemset      Count
------------------  -------
{0}                       5
{1}                       3
{2}                       4
{3}                       3
{4}                       4
{5}                       6
{6}                       7
{9}                       5
{10}                      4
{11}                      8
{12}                      4
{13}                      3
{14}                      6
{15}                      3
{16}                      6
{17}                      4
{18}                      5
{19}                      5
{20}                      5
{21}                      5
{22}                      6
{23}                      3
{24}                      3
{25}                      4
{26}                      3
{27}                      7
{28}                      8
{29}                      4
{30}                      4
{32}                      4
{33}                      5
{34}                      6
{35}                      3
{36}                      8
{37}                      5
{39}                      8
{40}                      6
{41}                      5
{42}                      4
{43}                      5
{44}                      5
{45}                      8
{46}                      3
{47}                      3
{48}                      5
{49}                      9
{49, 39}                  4
{9, 22}                   3
{11, 14}                  3
{27, 45}                  3
{21, 39}                  3
{25, 45}                  3
{49, 5}                   4
{27, 37}                  3
{40, 48}                  3
{33, 6}                   3
{25, 28}                  3
{28, 21}                  3
{45, 6}                   3
{11, 45}                  3
{11, 4}                   3
{27, 39}                  3
{40, 18}                  3
{25, 27}                  3
{44, 39}                  4
{49, 11}                  3
{40, 46}                  3
{2, 45}                   3
{41, 45}                  3
{30, 39}                  3
{27, 29}                  3
{5, 39}                   3
{18, 28}                  3
{16, 12}                  3
{40, 43}                  4
{16, 39}                  3
{19, 29}                  3
{40, 28}                  3
{49, 37}                  4
{41, 36}                  5
{11, 30}                  3
{16, 49}                  3
{19, 45}                  3
{20, 39}                  3
{49, 45}                  3
{43, 6}                   3
{14, 39}                  4
{5, 22}                   4
{36, 5}                   3
{49, 21}                  3
{36, 45}                  4
{0, 34}                   3
{28, 14}                  3
{27, 28}                  4
{18, 39}                  3
{49, 36}                  4
{0, 28}                   5
{26, 45}                  3
{16, 28}                  3
{11, 28}                  3
{17, 11}                  3
{42, 39}                  3
{27, 5}                   3
{17, 36}                  3
{34, 28}                  3
{19, 11}                  4
{11, 29}                  3
{27, 11}                  4
{27, 15}                  3
{2, 28}                   3
{27, 21}                  3
{49, 22}                  3
{9, 49}                   3
{20, 14}                  3
{18, 14}                  3
{40, 49}                  3
{34, 22}                  3
{6, 14}                   4
{45, 5}                   4
{0, 14}                   3
{36, 22}                  3
{41, 49}                  3
{40, 34}                  3
{18, 6}                   3
{11, 39}                  4
{48, 45}                  3
{2, 36}                   3
{44, 6}                   3
{49, 34}                  3
{27, 19}                  3
{10, 39}                  3
{16, 37}                  3
{18, 20}                  3
{34, 14}                  3
{40, 14}                  3
{32, 29}                  3
{11, 36}                  3
{40, 6}                   3
{44, 45}                  3
{16, 32}                  3
{44, 14}                  4
{10, 42}                  3
{45, 30}                  3
{0, 40}                   3
{27, 6}                   3
{48, 4}                   3
{28, 6}                   4
{33, 27}                  3
{36, 21}                  3
{20, 45}                  3
{33, 45}                  3
{28, 37}                  3
{49, 27}                  3
{11, 6}                   3
{0, 6}                    3
{48, 46}                  3
{49, 28}                  3
{25, 19}                  3
{45, 39}                  3
{49, 43}                  3
{11, 30, 39}              3
{41, 36, 45}              3
{41, 36, 49}              3
{19, 25, 27}              3
{18, 20, 14}              3
{40, 48, 46}              3
{11, 19, 29}              3
{0, 28, 14}               3
{49, 45, 5}               3
{0, 34, 28}               3
{44, 14, 39}              4
{40, 0, 28}               3
{28, 14, 6}               3
{40, 6, 14}               3
{0, 6, 14}                3
{0, 28, 6}                3
{18, 28, 6}               3
{0, 28, 6, 14}            3
