Note: Zero-index convention is used for item labels, i.e. the first column is considered item 0.
Closed Itemset      Relative Freq.    Absolute Freq.
----------------  ----------------  ----------------
{1}                           0.15                 3
{2}                           0.2                  4
{3}                           0.15                 3
{4}                           0.2                  4
{5}                           0.3                  6
{6}                           0.35                 7
{9}                           0.25                 5
{10}                          0.2                  4
{11}                          0.4                  8
{12}                          0.2                  4
{13}                          0.15                 3
{14}                          0.3                  6
{16}                          0.3                  6
{17}                          0.2                  4
{18}                          0.25                 5
{19}                          0.25                 5
{20}                          0.25                 5
{21}                          0.25                 5
{22}                          0.3                  6
{23}                          0.15                 3
{24}                          0.15                 3
{25}                          0.2                  4
{27}                          0.35                 7
{28}                          0.4                  8
{29}                          0.2                  4
{30}                          0.2                  4
{32}                          0.2                  4
{33}                          0.25                 5
{34}                          0.3                  6
{35}                          0.15                 3
{36}                          0.4                  8
{37}                          0.25                 5
{39}                          0.4                  8
{40}                          0.3                  6
{42}                          0.2                  4
{43}                          0.25                 5
{44}                          0.25                 5
{45}                          0.4                  8
{47}                          0.15                 3
{48}                          0.25                 5
{49}                          0.45                 9
{49, 39}                      0.2                  4
{9, 22}                       0.15                 3
{11, 14}                      0.15                 3
{27, 45}                      0.15                 3
{21, 39}                      0.15                 3
{25, 45}                      0.15                 3
{49, 5}                       0.2                  4
{27, 37}                      0.15                 3
{33, 6}                       0.15                 3
{25, 28}                      0.15                 3
{28, 21}                      0.15                 3
{45, 6}                       0.15                 3
{11, 45}                      0.15                 3
{11, 4}                       0.15                 3
{27, 39}                      0.15                 3
{40, 18}                      0.15                 3
{49, 11}                      0.15                 3
{2, 45}                       0.15                 3
{27, 29}                      0.15                 3
{5, 39}                       0.15                 3
{16, 12}                      0.15                 3
{40, 43}                      0.2                  4
{16, 39}                      0.15                 3
{49, 37}                      0.2                  4
{41, 36}                      0.25                 5
{16, 49}                      0.15                 3
{19, 45}                      0.15                 3
{20, 39}                      0.15                 3
{43, 6}                       0.15                 3
{5, 22}                       0.2                  4
{36, 5}                       0.15                 3
{49, 21}                      0.15                 3
{36, 45}                      0.2                  4
{27, 28}                      0.2                  4
{18, 39}                      0.15                 3
{49, 36}                      0.2                  4
{0, 28}                       0.25                 5
{26, 45}                      0.15                 3
{16, 28}                      0.15                 3
{11, 28}                      0.15                 3
{17, 11}                      0.15                 3
{42, 39}                      0.15                 3
{27, 5}                       0.15                 3
{17, 36}                      0.15                 3
{19, 11}                      0.2                  4
{27, 11}                      0.2                  4
{27, 15}                      0.15                 3
{2, 28}                       0.15                 3
{27, 21}                      0.15                 3
{49, 22}                      0.15                 3
{9, 49}                       0.15                 3
{40, 49}                      0.15                 3
{34, 22}                      0.15                 3
{6, 14}                       0.2                  4
{45, 5}                       0.2                  4
{36, 22}                      0.15                 3
{40, 34}                      0.15                 3
{11, 39}                      0.2                  4
{48, 45}                      0.15                 3
{2, 36}                       0.15                 3
{44, 6}                       0.15                 3
{49, 34}                      0.15                 3
{10, 39}                      0.15                 3
{16, 37}                      0.15                 3
{34, 14}                      0.15                 3
{32, 29}                      0.15                 3
{11, 36}                      0.15                 3
{44, 45}                      0.15                 3
{16, 32}                      0.15                 3
{10, 42}                      0.15                 3
{45, 30}                      0.15                 3
{27, 6}                       0.15                 3
{48, 4}                       0.15                 3
{28, 6}                       0.2                  4
{33, 27}                      0.15                 3
{36, 21}                      0.15                 3
{20, 45}                      0.15                 3
{33, 45}                      0.15                 3
{28, 37}                      0.15                 3
{49, 27}                      0.15                 3
{11, 6}                       0.15                 3
{49, 28}                      0.15                 3
{45, 39}                      0.15                 3
{49, 43}                      0.15                 3
{11, 30, 39}                  0.15                 3
{41, 36, 45}                  0.15                 3
{41, 36, 49}                  0.15                 3
{19, 25, 27}                  0.15                 3
{18, 20, 14}                  0.15                 3
{40, 48, 46}                  0.15                 3
{11, 19, 29}                  0.15                 3
{49, 45, 5}                   0.15                 3
{0, 34, 28}                   0.15                 3
{44, 14, 39}                  0.2                  4
{40, 0, 28}                   0.15                 3
{40, 6, 14}                   0.15                 3
{18, 28, 6}                   0.15                 3
{0, 28, 6, 14}                0.15                 3
